epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,554.511,1.05056,0.7811,1.2365,0.84864,0.83407,0.87862,0.58665,1.28726,0.67645,1.36537,0.00156384,0.00156384,0.00156384
43,692.627,1.05755,0.78485,1.23325,0.84466,0.83211,0.87637,0.58513,1.2895,0.6751,1.36499,0.00155808,0.00155808,0.00155808
44,833.826,1.05055,0.78097,1.23366,0.84954,0.82916,0.87691,0.58693,1.28753,0.6705,1.36312,0.00155232,0.00155232,0.00155232
45,974.487,1.04773,0.77611,1.23513,0.8483,0.83418,0.87741,0.58757,1.28606,0.66942,1.36407,0.00154656,0.00154656,0.00154656
46,1118.5,1.05136,0.77837,1.23373,0.85087,0.83356,0.88195,0.59129,1.28605,0.66894,1.3629,0.0015408,0.0015408,0.0015408
47,1257.21,1.04098,0.76486,1.22927,0.84702,0.83504,0.88316,0.5912,1.28112,0.6648,1.3608,0.00153504,0.00153504,0.00153504
48,1393.48,1.04055,0.76594,1.22828,0.85844,0.82883,0.88229,0.59221,1.27693,0.66801,1.35882,0.00152928,0.00152928,0.00152928
49,1531.86,1.03324,0.75745,1.22665,0.85387,0.83436,0.88233,0.59208,1.27344,0.66974,1.35659,0.00152352,0.00152352,0.00152352
50,1670.15,1.03422,0.75809,1.22536,0.85512,0.83344,0.88246,0.59229,1.27226,0.66708,1.35477,0.00151776,0.00151776,0.00151776
51,1806.14,1.04023,0.75824,1.22322,0.85296,0.83771,0.8831,0.59407,1.26866,0.66352,1.35209,0.001512,0.001512,0.001512
52,1942.55,1.03571,0.76166,1.22501,0.85867,0.83449,0.8831,0.59463,1.2667,0.66253,1.3497,0.00150624,0.00150624,0.00150624
53,2078.59,1.03034,0.74988,1.22038,0.85342,0.83796,0.88381,0.59591,1.26485,0.65914,1.34845,0.00150048,0.00150048,0.00150048
54,2214.96,1.0348,0.74724,1.22352,0.85601,0.83774,0.88403,0.59682,1.26159,0.65889,1.34656,0.00149472,0.00149472,0.00149472
55,2354.12,1.03234,0.75642,1.22092,0.85392,0.83758,0.88325,0.59754,1.25965,0.65728,1.34547,0.00148896,0.00148896,0.00148896
