epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,693.12,0.91123,0.60472,1.13578,0.87666,0.85588,0.90051,0.62039,1.23392,0.59261,1.32409,0.00076896,0.00076896,0.00076896
181,831.774,0.91059,0.60539,1.13975,0.87717,0.85618,0.90038,0.62027,1.23394,0.59231,1.32419,0.0007632,0.0007632,0.0007632
182,969.907,0.90985,0.60754,1.14263,0.88025,0.85454,0.90066,0.62036,1.23414,0.59223,1.3243,0.00075744,0.00075744,0.00075744
183,1106.15,0.91557,0.61125,1.14421,0.88044,0.8545,0.90056,0.62053,1.23433,0.59208,1.3246,0.00075168,0.00075168,0.00075168
184,1241.09,0.90766,0.60421,1.14051,0.88015,0.85475,0.90053,0.62012,1.23424,0.59185,1.32453,0.00074592,0.00074592,0.00074592
185,1378.74,0.90561,0.60567,1.13769,0.88034,0.8552,0.90092,0.62056,1.23403,0.59167,1.32446,0.00074016,0.00074016,0.00074016
186,1516.48,0.90444,0.60254,1.1389,0.87966,0.85548,0.90097,0.62022,1.23391,0.59161,1.32425,0.0007344,0.0007344,0.0007344
187,1654.47,0.90556,0.60422,1.14046,0.87947,0.85544,0.90091,0.62041,1.23427,0.59131,1.32469,0.00072864,0.00072864,0.00072864
188,1792.24,0.91507,0.60465,1.14301,0.87944,0.85519,0.90096,0.62007,1.23443,0.5911,1.32501,0.00072288,0.00072288,0.00072288
189,1929.41,0.91366,0.61389,1.145,0.8779,0.85639,0.90085,0.62048,1.23451,0.59138,1.32515,0.00071712,0.00071712,0.00071712
190,2067.4,0.90825,0.60363,1.14236,0.8793,0.85553,0.90109,0.62014,1.2342,0.59124,1.32495,0.00071136,0.00071136,0.00071136
191,2205.42,0.91564,0.60253,1.14171,0.87803,0.85623,0.90097,0.62021,1.23392,0.59108,1.3248,0.0007056,0.0007056,0.0007056
192,2344.06,0.91624,0.61105,1.1413,0.87717,0.85666,0.90169,0.62022,1.23414,0.59127,1.32481,0.00069984,0.00069984,0.00069984
193,2481.48,0.90265,0.60007,1.13706,0.87794,0.85667,0.90164,0.62041,1.2341,0.59117,1.32487,0.00069408,0.00069408,0.00069408
194,2617.75,0.90618,0.59444,1.13873,0.87811,0.85632,0.90125,0.62035,1.2345,0.59117,1.32531,0.00068832,0.00068832,0.00068832
195,2752.98,0.90291,0.6034,1.1369,0.87847,0.85575,0.90144,0.62078,1.23446,0.59125,1.32546,0.00068256,0.00068256,0.00068256
196,2888.11,0.90575,0.59909,1.13689,0.87845,0.85623,0.90139,0.62089,1.23455,0.59107,1.32543,0.0006768,0.0006768,0.0006768
197,3025.77,0.90997,0.60104,1.14166,0.87992,0.85587,0.90175,0.62095,1.23468,0.59083,1.32561,0.00067104,0.00067104,0.00067104
198,3161.59,0.89711,0.5951,1.13532,0.87949,0.8557,0.90193,0.62092,1.23481,0.59067,1.32591,0.00066528,0.00066528,0.00066528
199,3296.17,0.90462,0.60003,1.13754,0.87962,0.85536,0.90195,0.62117,1.23484,0.59044,1.32601,0.00065952,0.00065952,0.00065952
200,3431.37,0.89704,0.59936,1.13144,0.87965,0.85451,0.90212,0.62116,1.23466,0.59039,1.32593,0.00065376,0.00065376,0.00065376
201,3566.39,0.90878,0.60437,1.13754,0.8788,0.85476,0.90145,0.62161,1.2345,0.59049,1.32584,0.000648,0.000648,0.000648
202,3706.2,0.90502,0.60589,1.14037,0.87839,0.85524,0.90145,0.62148,1.23462,0.59021,1.32594,0.00064224,0.00064224,0.00064224
203,3844,0.90539,0.60102,1.13517,0.8795,0.85468,0.90139,0.62158,1.23476,0.59048,1.32596,0.00063648,0.00063648,0.00063648
204,3985.25,0.90254,0.60008,1.13467,0.87924,0.85472,0.90142,0.62159,1.23479,0.59037,1.3261,0.00063072,0.00063072,0.00063072
205,4121.99,0.90195,0.59777,1.13661,0.87985,0.85389,0.90155,0.62152,1.23453,0.5902,1.32593,0.00062496,0.00062496,0.00062496
206,4269.82,0.90196,0.59795,1.13721,0.88076,0.8527,0.90145,0.62167,1.23453,0.59004,1.32594,0.0006192,0.0006192,0.0006192
207,4421.84,0.89852,0.59327,1.13372,0.88004,0.85461,0.90147,0.62185,1.23404,0.58964,1.32535,0.00061344,0.00061344,0.00061344
208,4576.39,0.90855,0.5968,1.14136,0.88003,0.85473,0.90113,0.62181,1.23407,0.58966,1.32532,0.00060768,0.00060768,0.00060768
209,4713.47,0.90484,0.59756,1.13717,0.88043,0.85427,0.90117,0.62182,1.23397,0.58967,1.32529,0.00060192,0.00060192,0.00060192
210,4849.97,0.90404,0.60123,1.13642,0.88244,0.85131,0.90118,0.62162,1.23383,0.58949,1.325,0.00059616,0.00059616,0.00059616
211,4987.66,0.90162,0.60198,1.13614,0.88128,0.85363,0.9013,0.62169,1.23351,0.58923,1.32463,0.0005904,0.0005904,0.0005904
212,5124.39,0.89893,0.59412,1.13501,0.88139,0.85396,0.9012,0.62179,1.23356,0.58879,1.32473,0.00058464,0.00058464,0.00058464
213,5262.28,0.89996,0.59967,1.13717,0.88227,0.85447,0.90114,0.62183,1.23385,0.58862,1.32493,0.00057888,0.00057888,0.00057888
214,5399.46,0.90508,0.59936,1.13676,0.88229,0.85317,0.90115,0.62145,1.23402,0.58851,1.32508,0.00057312,0.00057312,0.00057312
215,5538.11,0.90787,0.59851,1.13859,0.88187,0.85311,0.90143,0.62192,1.23372,0.58825,1.32471,0.00056736,0.00056736,0.00056736
216,5674.26,0.90115,0.59903,1.13819,0.88124,0.85221,0.90186,0.62202,1.2335,0.58835,1.32461,0.0005616,0.0005616,0.0005616
217,5815.11,0.90698,0.59786,1.13597,0.88179,0.85151,0.90141,0.62194,1.23346,0.58809,1.32454,0.00055584,0.00055584,0.00055584
218,5953.23,0.9071,0.60113,1.13683,0.88337,0.85105,0.90133,0.62169,1.23345,0.58815,1.32444,0.00055008,0.00055008,0.00055008
219,6091.19,0.9081,0.60065,1.13927,0.88293,0.85105,0.90165,0.62177,1.23337,0.58786,1.3242,0.00054432,0.00054432,0.00054432
220,6229.23,0.90505,0.59833,1.14152,0.8825,0.85228,0.90159,0.62179,1.23347,0.58728,1.32429,0.00053856,0.00053856,0.00053856
221,6367.18,0.90186,0.59771,1.13744,0.88248,0.85259,0.90162,0.62196,1.23338,0.58726,1.32442,0.0005328,0.0005328,0.0005328
222,6504.25,0.90206,0.59702,1.1337,0.88355,0.85246,0.90189,0.62184,1.23361,0.58725,1.32473,0.00052704,0.00052704,0.00052704
223,6642.4,0.90476,0.59959,1.1336,0.88062,0.85521,0.90181,0.62181,1.23405,0.58705,1.32486,0.00052128,0.00052128,0.00052128
224,6778.02,0.90381,0.59739,1.13572,0.87885,0.85612,0.90204,0.62203,1.23414,0.5866,1.32502,0.00051552,0.00051552,0.00051552
225,6913.11,0.90687,0.60256,1.1334,0.88148,0.85533,0.90185,0.62224,1.23404,0.5864,1.32506,0.00050976,0.00050976,0.00050976
226,7047.92,0.90637,0.59783,1.13656,0.88259,0.85433,0.90222,0.62265,1.2341,0.58604,1.32505,0.000504,0.000504,0.000504
227,7183.46,0.90865,0.60026,1.1384,0.88398,0.8527,0.90251,0.62266,1.23433,0.5855,1.32535,0.00049824,0.00049824,0.00049824
228,7319.37,0.90264,0.59327,1.13511,0.88317,0.85424,0.90295,0.62287,1.23431,0.58433,1.32534,0.00049248,0.00049248,0.00049248
229,7456.76,0.89875,0.59578,1.12997,0.88286,0.856,0.90331,0.62297,1.23443,0.58422,1.32537,0.00048672,0.00048672,0.00048672
230,7591.62,0.90331,0.59496,1.13682,0.88168,0.85784,0.90358,0.62284,1.23454,0.58395,1.32543,0.00048096,0.00048096,0.00048096
231,7727.17,0.90754,0.60052,1.13528,0.8825,0.8557,0.90331,0.62311,1.23467,0.58386,1.32536,0.0004752,0.0004752,0.0004752
232,7861.62,0.90619,0.59396,1.13562,0.88264,0.85657,0.90355,0.62375,1.2346,0.58385,1.32531,0.00046944,0.00046944,0.00046944
233,7997,0.90533,0.59402,1.13365,0.88182,0.8567,0.90333,0.62364,1.23476,0.58399,1.32533,0.00046368,0.00046368,0.00046368
234,8134.23,0.90347,0.59477,1.13047,0.87947,0.85845,0.90318,0.62346,1.23476,0.58385,1.32514,0.00045792,0.00045792,0.00045792
235,8272.05,0.89558,0.59087,1.13216,0.87356,0.86447,0.90313,0.62377,1.23442,0.58371,1.32487,0.00045216,0.00045216,0.00045216
236,8409.84,0.90048,0.59798,1.13606,0.87492,0.86227,0.90315,0.62356,1.2343,0.58372,1.3248,0.0004464,0.0004464,0.0004464
237,8544.98,0.90745,0.59509,1.13779,0.87473,0.86218,0.90303,0.62371,1.23401,0.58364,1.32455,0.00044064,0.00044064,0.00044064
238,8685.06,0.89517,0.58757,1.12859,0.88096,0.85762,0.90299,0.62387,1.23377,0.58316,1.3243,0.00043488,0.00043488,0.00043488
239,8822.77,0.89971,0.59057,1.13179,0.88096,0.8569,0.90304,0.62417,1.23399,0.58329,1.32434,0.00042912,0.00042912,0.00042912
240,8958.93,0.90439,0.59801,1.13306,0.88116,0.85726,0.90358,0.62444,1.2338,0.58268,1.32397,0.00042336,0.00042336,0.00042336
241,9106.1,0.84539,0.45219,1.08787,0.87713,0.86152,0.90357,0.62485,1.23357,0.58272,1.32381,0.0004176,0.0004176,0.0004176
242,9238.52,0.83868,0.44146,1.08471,0.87623,0.86308,0.90365,0.62515,1.23372,0.58227,1.32411,0.00041184,0.00041184,0.00041184
243,9371.04,0.83466,0.43859,1.08574,0.87624,0.86405,0.90387,0.62465,1.23395,0.58185,1.32423,0.00040608,0.00040608,0.00040608
244,9504.02,0.82864,0.43518,1.08145,0.8758,0.86477,0.90388,0.62486,1.23374,0.58186,1.32412,0.00040032,0.00040032,0.00040032
245,9637.5,0.82603,0.42826,1.0762,0.87542,0.86471,0.90437,0.62469,1.2336,0.58177,1.32403,0.00039456,0.00039456,0.00039456
246,9770.16,0.82112,0.42657,1.0734,0.87559,0.86486,0.9046,0.62482,1.23342,0.58151,1.32395,0.0003888,0.0003888,0.0003888
247,9902.45,0.82056,0.42413,1.07184,0.87608,0.86421,0.90505,0.62524,1.23305,0.58084,1.32371,0.00038304,0.00038304,0.00038304
248,10034.2,0.81936,0.42453,1.07173,0.87717,0.86385,0.90577,0.626,1.23269,0.58042,1.32367,0.00037728,0.00037728,0.00037728
249,10166,0.82058,0.42682,1.0749,0.87724,0.86381,0.9055,0.62671,1.2328,0.58013,1.32374,0.00037152,0.00037152,0.00037152
250,10302.8,0.81493,0.42253,1.07193,0.87866,0.86279,0.90586,0.6271,1.23236,0.57921,1.32356,0.00036576,0.00036576,0.00036576
